Date,buy_hold_spy,trend_following_spy,vix_overlay_spy_30,vix_overlay_spy_25,sixty_forty,dual_momentum,sector_momentum_top3_monthly,sector_rotation_5d_live,sector_rotation_5d_trend_filter,sector_rotation_5d_vix_filter,sector_rotation_monthly_match_live,buy_hold_btc,btc_stress_overlay
2020-05-08,180927.79815463233,140546.69207105532,160415.7263979765,177259.00608222774,193722.37813672028,102190.78931056822,163837.64305197913,107949.45947133322,98942.3300669505,103551.62184708312,104656.46298338864,2152183.239188302,6197549.649721909
2020-05-09,,,,,,,,,,,,2097787.6501551024,
2020-05-10,,,,,,,,,,,,1914668.5745907775,
2020-05-11,180964.89241688323,140546.69207105532,160448.61522481721,177278.39406470934,193141.34396148263,102201.96658881615,165018.95745744725,107848.5466848916,98942.3300669505,103551.62184708312,104919.41442776396,1880856.3584447028,6197549.649721909
2020-05-12,177358.0402480961,140546.69207105532,157250.67761341936,177278.39406470934,191624.5975948802,102201.96658881615,161841.9531761101,107260.24526524231,98942.3300669505,103551.62184708312,104548.36508035506,1925174.4353917253,6197549.649721909
2020-05-13,174221.27466853167,140546.69207105532,157250.67761341936,177278.39406470934,190127.40052399167,102201.96658881615,159398.65463929472,106646.92831092232,98942.3300669505,103551.62184708312,104313.31888533369,2026962.1333250054,6197549.649721909
2020-05-14,176306.2351121018,140546.69207105532,157267.90620353754,177297.816917663,192236.9509942349,102213.1639700825,161451.86259673603,106750.07537959602,98942.3300669505,103551.62184708312,104535.12447048907,2128361.6268896656,6197549.649721909
2020-05-15,177116.72214887923,140546.69207105532,157233.47995434268,177259.00608222772,192569.31890267567,102190.7893105682,162804.8619678158,106713.97502856857,98942.3300669505,103551.62184708312,104684.96154228607,2039690.2399258611,6197549.649721909
2020-05-16,,,,,,,,,,,,2050364.3653266288,
2020-05-17,,,,,,,,,,,,2114589.980822667,
2020-05-18,182511.6163475605,140546.69207105532,157233.47995434268,177259.00608222772,194397.59909090106,102190.7893105682,166636.57538712947,106796.62916979167,98942.3300669505,103551.62184708312,104957.999931124,2126798.9868624024,6197549.649721909
2020-05-19,180637.04157853956,140546.69207105532,155618.5366413292,177259.00608222772,193490.5193837499,102190.7893105682,165564.99799963334,106639.26187959872,98942.3300669505,103551.62184708312,104809.85086623536,2127337.5189953293,6197549.649721909
2020-05-20,183705.67777389238,140546.69207105532,155618.5366413292,177259.00608222772,195694.4190570308,102190.7893105682,167561.04746495927,106781.37228875038,98942.3300669505,103551.62184708312,105028.70934025043,2082281.4693871667,6197549.649721909
2020-05-21,182437.3867441415,140546.69207105532,154544.15725100855,177278.39406470928,195079.34299833444,102201.96658881613,166567.7770342959,106583.45626345268,98942.3300669505,103551.62184708312,104839.56691766708,1985804.9965697806,6197549.649721909
2020-05-22,182783.84633198645,140546.69207105532,154837.64591569832,177259.0060822277,195771.03353832292,102190.7893105682,166804.8870218677,106576.77952737169,98942.3300669505,103551.62184708312,104896.66114000318,2007849.153882501,6197549.649721909
2020-05-23,,,,,,,,,,,,2013689.515646052,
2020-05-24,,,,,,,,,,,,1922089.2996833494,
2020-05-25,,,,,,,,,,,,1947577.5429484781,
2020-05-26,185035.8952713545,140546.69207105532,156745.37443359673,177278.39406470925,196168.1871341186,102201.96658881613,167527.4012657621,107298.67638692333,98942.3300669505,103551.62184708312,104850.33260120358,1931859.963761987,6197549.649721909
2020-05-27,187788.98376407145,142637.84027807112,159077.5375309617,177259.00608222766,197775.27375840474,102190.7893105682,169381.24808426868,108083.08483589411,99276.06563723924,103551.62184708312,105010.51299810139,2007508.1404739823,6440234.595772837
2020-05-28,187442.48309730928,142374.65068211503,158784.01406799533,177259.00608222766,197265.15402718398,102190.7893105682,169321.63047447664,107290.27395641324,99020.40862684348,103551.62184708312,105127.94820254514,2082887.051119514,6682055.716366851
2020-05-29,188277.84341846424,143009.16070328452,159491.65442142182,177259.00608222766,198356.1410111407,102190.7893105682,170920.63645016187,106997.93277051355,98787.66384727301,103551.62184708312,105404.94861964953,2063945.325749415,6621289.260394554
2020-05-30,,,,,,,,,,,,2121078.6310697887,
2020-05-31,,,,,,,,,,,,2068741.5074455552,
2020-06-01,189038.6865837797,143587.07014033262,160136.1707011292,177278.39406470925,198302.91738598223,102201.96658881613,170880.3967883637,107330.68995170631,99120.42102846577,103551.62184708312,105332.84434670766,2223160.3649852416,7132062.882269783
